Drugs;Population;Employment;Income;Unemployment;Cabin;Education;Illness;Drugs;Alcohol;Crime
26.93;1552.9;756.8;29.579;32.6;1.2;50.6;745.7;908;25.39;884
30.25;1220.5;540.6;25.336;27.3;0.9;30.7;776;1007;36.06;1293
29.04;1389.6;647.4;22.853;32.4;1.6;30.8;944.2;1343;34.57;1373
33.89;2335.4;1094.8;29.569;54;0.9;88.9;549.9;2443;33.31;1472
25.99;1023.2;447.1;23.679;30.4;2.4;28.5;887.6;906;38.12;1403
31.57;1014.6;508.9;28.592;22.3;3.7;19.1;753.7;985;34.91;1600
32.24;648.2;293.2;23.97;17.4;3.9;11.4;715.7;894;39.82;1351
29.79;1122.9;520.6;25.815;24.6;0.5;44.5;540.2;981;29.63;1087
30.82;1156.2;565.5;28.455;23;1.1;22.2;666.2;1296;37.57;1070
43.66;7423.5;3377;40.509;124.4;1;86.8;695.6;8424;37.61;1198
24.42;754.8;330.2;23.237;26.8;1.4;30.7;951.9;552;36.61;1230
24.99;1126.7;505.5;24.574;21.8;2;33;704.9;1202;32.46;844
32.04;953.2;443.9;24.469;27.7;1.7;24.3;722.4;939;37.2;1431
27.06;1040.3;492.1;26.169;23.5;1.8;29.7;652.6;1262;32.33;1165
26.05;1296.8;608.5;23.883;36.4;5.3;25.8;868.3;735;37.12;1614
29.59;1499.4;731.5;27.417;31.7;4.4;32.5;723.3;994;37.11;799
36.41;1270.7;626.6;27.819;48;3.4;33.8;899.9;1290;38.34;1447
42.53;12380.7;8692;59.203;115.3;0.1;736.3;645;16265;33.39;1407
26.43;627.1;283.6;25.744;29;3.2;12.1;1126.2;830;44.54;2142
28.36;850.5;421.8;31.527;35.9;6.4;17.1;1121.2;907;44.98;2231
22.62;1165.7;547.5;32.503;40.3;8.2;19.1;1016.4;950;41.11;1774
30.07;1183.9;556.6;27.344;28.9;3.6;20.8;917.6;1554;39.14;2169
28.23;986.3;476.9;25.903;29.6;1.5;24.7;823.4;828;37.51;1348
38.91;1791.9;820.2;27.157;41;1.7;8.9;664.1;1628;34.89;982
36.37;757.6;379.8;36.115;32.7;1.8;9.8;875.8;1654;29.56;1982
34.39;612.5;294;25.252;16.3;2.7;11.5;887.6;651;36.36;1952
26.06;642.2;291.2;22.095;20.2;1.3;12.8;709.5;392;35.84;1474
45.33;5281.6;3179.4;41.165;50.3;0.1;293.4;1009.6;13821;33.8;996
27.62;453.4;151.1;23.6;18.2;0.3;11.8;661.1;224;30.64;1025
29.28;277.8;112.3;14.569;11.1;0.7;9.7;719.9;457;24.95;1060
39.35;1912.2;825.4;18.071;63.8;1.8;43.4;520.2;1638;33.78;1244
30.68;5570.9;2553.2;32.785;162.7;0.6;119.5;669.9;7564;40;1290
